Date,Kent,New Castle,Sussex,Total
1/22/20,0,0,0,0.0
1/23/20,0,0,0,0.0
1/24/20,0,0,0,0.0
1/25/20,0,0,0,0.0
1/26/20,0,0,0,0.0
1/27/20,0,0,0,0.0
1/28/20,0,0,0,0.0
1/29/20,0,0,0,0.0
1/30/20,0,0,0,0.0
1/31/20,0,0,0,0.0
2/1/20,0,0,0,0.0
2/2/20,0,0,0,0.0
2/3/20,0,0,0,0.0
2/4/20,0,0,0,0.0
2/5/20,0,0,0,0.0
2/6/20,0,0,0,0.0
2/7/20,0,0,0,0.0
2/8/20,0,0,0,0.0
2/9/20,0,0,0,0.0
2/10/20,0,0,0,0.0
2/11/20,0,0,0,0.0
2/12/20,0,0,0,0.0
2/13/20,0,0,0,0.0
2/14/20,0,0,0,0.0
2/15/20,0,0,0,0.0
2/16/20,0,0,0,0.0
2/17/20,0,0,0,0.0
2/18/20,0,0,0,0.0
2/19/20,0,0,0,0.0
2/20/20,0,0,0,0.0
2/21/20,0,0,0,0.0
2/22/20,0,0,0,0.0
2/23/20,0,0,0,0.0
2/24/20,0,0,0,0.0
2/25/20,0,0,0,0.0
2/26/20,0,0,0,0.0
2/27/20,0,0,0,0.0
2/28/20,0,0,0,0.0
2/29/20,0,0,0,0.0
3/1/20,0,0,0,0.0
3/2/20,0,0,0,0.0
3/3/20,0,0,0,0.0
3/4/20,0,0,0,0.0
3/5/20,0,0,0,0.0
3/6/20,0,0,0,0.0
3/7/20,0,0,0,0.0
3/8/20,0,0,0,0.0
3/9/20,0,0,0,0.0
3/10/20,0,0,0,0.0
3/11/20,0,1,0,1.0
3/12/20,0,1,0,1.0
3/13/20,0,4,0,4.0
3/14/20,0,6,0,6.0
3/15/20,0,6,0,6.0
3/16/20,0,8,0,8.0
3/17/20,0,15,1,16.0
3/18/20,1,17,1,19.0
3/19/20,4,23,3,30.0
3/20/20,5,27,7,39.0
3/21/20,5,32,8,45.0
3/22/20,5,39,12,56.0
3/23/20,6,44,18,68.0
3/24/20,10,71,23,104.0
3/25/20,14,79,26,119.0
3/26/20,17,86,27,130.0
3/27/20,21,105,37,163.0
3/28/20,25,130,59,214.0
3/29/20,25,141,66,232.0
3/30/20,27,156,81,264.0
3/31/20,34,197,88,319.0
4/1/20,41,226,101,368.0
4/2/20,43,245,105,393.0
4/3/20,54,279,117,450.0
4/4/20,68,400,125,593.0
4/5/20,86,436,151,673.0
4/6/20,128,496,159,783.0
4/7/20,147,571,210,928.0
4/8/20,201,636,279,1116.0
4/9/20,214,701,294,1209.0
