Date,District of Columbia,Total
1/22/20,0,0.0
1/23/20,0,0.0
1/24/20,0,0.0
1/25/20,0,0.0
1/26/20,0,0.0
1/27/20,0,0.0
1/28/20,0,0.0
1/29/20,0,0.0
1/30/20,0,0.0
1/31/20,0,0.0
2/1/20,0,0.0
2/2/20,0,0.0
2/3/20,0,0.0
2/4/20,0,0.0
2/5/20,0,0.0
2/6/20,0,0.0
2/7/20,0,0.0
2/8/20,0,0.0
2/9/20,0,0.0
2/10/20,0,0.0
2/11/20,0,0.0
2/12/20,0,0.0
2/13/20,0,0.0
2/14/20,0,0.0
2/15/20,0,0.0
2/16/20,0,0.0
2/17/20,0,0.0
2/18/20,0,0.0
2/19/20,0,0.0
2/20/20,0,0.0
2/21/20,0,0.0
2/22/20,0,0.0
2/23/20,0,0.0
2/24/20,0,0.0
2/25/20,0,0.0
2/26/20,0,0.0
2/27/20,0,0.0
2/28/20,0,0.0
2/29/20,0,0.0
3/1/20,0,0.0
3/2/20,0,0.0
3/3/20,0,0.0
3/4/20,0,0.0
3/5/20,0,0.0
3/6/20,0,0.0
3/7/20,0,0.0
3/8/20,0,0.0
3/9/20,0,0.0
3/10/20,0,0.0
3/11/20,0,0.0
3/12/20,0,0.0
3/13/20,0,0.0
3/14/20,0,0.0
3/15/20,0,0.0
3/16/20,22,22.0
3/17/20,22,22.0
3/18/20,31,31.0
3/19/20,40,40.0
3/20/20,71,71.0
3/21/20,98,98.0
3/22/20,102,102.0
3/23/20,120,120.0
3/24/20,141,141.0
3/25/20,187,187.0
3/26/20,231,231.0
3/27/20,271,271.0
3/28/20,304,304.0
3/29/20,342,342.0
3/30/20,401,401.0
3/31/20,495,495.0
4/1/20,586,586.0
4/2/20,653,653.0
4/3/20,757,757.0
4/4/20,902,902.0
4/5/20,1002,1002.0
4/6/20,1097,1097.0
4/7/20,1211,1211.0
4/8/20,1440,1440.0
4/9/20,1523,1523.0
4/10/20,1660,1660.0
4/11/20,1778,1778.0
4/12/20,1875,1875.0
4/13/20,1955,1955.0
4/14/20,2058,2058.0
4/15/20,2197,2197.0
4/16/20,2350,2350.0
4/17/20,2476,2476.0
4/18/20,2666,2666.0
4/19/20,2793,2793.0
4/20/20,2927,2927.0
4/21/20,3098,3098.0
4/22/20,3206,3206.0
4/23/20,3361,3361.0
4/24/20,3528,3528.0
