Date,Bristol,Kent,Newport,Providence,Washington,Total
1/22/20,0,0,0,0,0,0.0
1/23/20,0,0,0,0,0,0.0
1/24/20,0,0,0,0,0,0.0
1/25/20,0,0,0,0,0,0.0
1/26/20,0,0,0,0,0,0.0
1/27/20,0,0,0,0,0,0.0
1/28/20,0,0,0,0,0,0.0
1/29/20,0,0,0,0,0,0.0
1/30/20,0,0,0,0,0,0.0
1/31/20,0,0,0,0,0,0.0
2/1/20,0,0,0,0,0,0.0
2/2/20,0,0,0,0,0,0.0
2/3/20,0,0,0,0,0,0.0
2/4/20,0,0,0,0,0,0.0
2/5/20,0,0,0,0,0,0.0
2/6/20,0,0,0,0,0,0.0
2/7/20,0,0,0,0,0,0.0
2/8/20,0,0,0,0,0,0.0
2/9/20,0,0,0,0,0,0.0
2/10/20,0,0,0,0,0,0.0
2/11/20,0,0,0,0,0,0.0
2/12/20,0,0,0,0,0,0.0
2/13/20,0,0,0,0,0,0.0
2/14/20,0,0,0,0,0,0.0
2/15/20,0,0,0,0,0,0.0
2/16/20,0,0,0,0,0,0.0
2/17/20,0,0,0,0,0,0.0
2/18/20,0,0,0,0,0,0.0
2/19/20,0,0,0,0,0,0.0
2/20/20,0,0,0,0,0,0.0
2/21/20,0,0,0,0,0,0.0
2/22/20,0,0,0,0,0,0.0
2/23/20,0,0,0,0,0,0.0
2/24/20,0,0,0,0,0,0.0
2/25/20,0,0,0,0,0,0.0
2/26/20,0,0,0,0,0,0.0
2/27/20,0,0,0,0,0,0.0
2/28/20,0,0,0,0,0,0.0
2/29/20,0,0,0,0,0,0.0
3/1/20,0,0,0,1,0,1.0
3/2/20,0,0,0,2,0,2.0
3/3/20,0,0,0,2,0,2.0
3/4/20,0,0,0,2,0,2.0
3/5/20,0,0,0,2,0,2.0
3/6/20,0,0,0,2,0,2.0
3/7/20,0,0,0,3,0,3.0
3/8/20,0,0,0,3,0,3.0
3/9/20,0,0,0,3,0,3.0
3/10/20,0,0,0,3,0,3.0
3/11/20,0,0,0,5,0,5.0
3/12/20,0,0,0,3,0,3.0
3/13/20,0,0,0,3,0,3.0
3/14/20,0,0,0,20,0,20.0
3/15/20,0,0,0,20,0,20.0
3/16/20,0,0,0,21,0,21.0
3/17/20,0,0,0,23,0,23.0
3/18/20,0,0,0,33,0,33.0
3/19/20,0,0,0,44,0,44.0
3/20/20,0,0,0,44,0,44.0
3/21/20,4,4,8,30,8,54.0
3/22/20,14,7,8,37,9,75.0
3/23/20,24,7,9,52,9,101.0
3/24/20,24,7,9,52,9,101.0
3/25/20,24,7,9,52,9,101.0
3/26/20,6,9,12,91,14,132.0
3/27/20,6,9,12,91,14,132.0
3/28/20,6,9,12,91,14,132.0
3/29/20,12,27,19,156,23,237.0
3/30/20,12,27,19,156,23,237.0
3/31/20,14,31,23,208,28,304.0
4/1/20,18,39,23,301,25,406.0
4/2/20,21,59,33,418,34,565.0
4/3/20,21,59,33,418,34,565.0
4/4/20,21,59,33,418,34,565.0
4/5/20,24,82,39,491,48,684.0
4/6/20,25,92,42,538,53,750.0
4/7/20,27,105,52,622,70,876.0
4/8/20,31,137,56,832,120,1176.0
4/9/20,31,137,56,832,120,1176.0
4/10/20,37,151,56,955,120,1319.0
4/11/20,39,169,74,1278,140,1700.0
4/12/20,39,169,74,1278,140,1700.0
4/13/20,39,169,74,1278,140,1700.0
4/14/20,39,169,74,1278,140,1700.0
4/15/20,49,244,93,1957,152,2495.0
4/16/20,50,249,94,2072,162,2627.0
4/17/20,57,299,103,2703,225,3387.0
4/18/20,57,299,103,2703,183,3345.0
4/19/20,59,316,103,3014,184,3676.0
4/20/20,67,366,107,3491,198,4229.0
4/21/20,68,386,110,3727,209,4500.0
4/22/20,88,412,114,4064,268,4946.0
4/23/20,95,432,117,4350,256,5250.0
4/24/20,102,466,124,4603,272,5567.0
4/25/20,107,496,130,4916,282,5931.0
4/26/20,111,526,135,5266,292,6330.0
4/27/20,115,565,138,5427,303,6548.0
4/28/20,115,574,138,5520,313,6660.0
4/29/20,145,598,148,5967,324,7182.0
4/30/20,143,622,149,6290,330,7534.0
5/1/20,142,638,155,6579,344,7858.0
5/2/20,144,675,156,6822,350,8147.0
5/3/20,152,697,158,7028,356,8391.0
5/4/20,154,703,161,7138,363,8519.0
5/5/20,154,703,161,7138,363,8519.0
5/6/20,154,703,161,7138,363,8519.0
5/7/20,154,703,161,7138,363,8519.0
5/8/20,154,703,161,7138,363,8519.0
5/9/20,154,703,161,7138,363,8519.0
5/10/20,154,703,161,7138,363,8519.0
5/11/20,171,859,182,8674,406,10292.0
5/12/20,172,850,185,8798,411,10416.0
5/13/20,172,883,197,9112,425,10789.0
5/14/20,172,883,197,9112,425,10789.0
5/15/20,172,883,197,9112,425,10789.0
5/16/20,172,883,197,9112,425,10789.0
5/17/20,172,883,197,9112,425,10789.0
5/18/20,172,883,197,9112,425,10789.0
5/19/20,172,883,197,9112,425,10789.0
5/20/20,198,958,206,9976,462,11800.0
5/21/20,204,974,209,10160,471,12018.0
5/22/20,209,985,212,10320,482,12208.0
5/23/20,213,1005,226,10519,485,12448.0
5/24/20,213,1013,228,10607,486,12547.0
5/25/20,213,1013,228,10607,486,12547.0
5/26/20,213,1013,228,10607,486,12547.0
5/27/20,223,1032,235,10874,493,12857.0
5/28/20,222,1038,237,10968,496,12961.0
5/29/20,224,1052,244,11052,499,13071.0
5/30/20,224,1052,244,11052,499,13071.0
5/31/20,224,1052,244,11052,499,13071.0
6/1/20,224,1052,244,11052,499,13071.0
6/2/20,224,1052,244,11052,499,13071.0
6/3/20,224,1052,244,11052,499,13071.0
6/4/20,224,1052,244,11052,499,13071.0
6/5/20,224,1052,244,11052,499,13071.0
6/6/20,224,1052,244,11052,499,13071.0
6/7/20,224,1052,244,11052,499,13071.0
6/8/20,231,1105,269,11959,513,14077.0
6/9/20,231,1105,269,11959,513,14077.0
6/10/20,231,1105,269,11959,513,14077.0
6/11/20,231,1105,269,11959,513,14077.0
6/12/20,231,1105,269,11959,513,14077.0
6/13/20,231,1105,269,11959,513,14077.0
6/14/20,231,1105,269,11959,513,14077.0
6/15/20,240,1128,277,12363,516,14524.0
6/16/20,240,1128,277,12363,516,14524.0
6/17/20,240,1128,277,12363,516,14524.0
6/18/20,240,1128,277,12363,516,14524.0
6/19/20,240,1128,277,12363,516,14524.0
6/20/20,240,1128,277,12363,516,14524.0
6/21/20,240,1128,277,12363,516,14524.0
6/22/20,247,1169,294,12712,523,14945.0
6/23/20,247,1169,294,12712,523,14945.0
6/24/20,247,1169,294,12712,523,14945.0
6/25/20,247,1169,294,12712,523,14945.0
6/26/20,247,1169,294,12712,523,14945.0
6/27/20,247,1169,294,12712,523,14945.0
6/28/20,247,1169,294,12712,523,14945.0
6/29/20,253,1199,308,12937,532,15229.0
6/30/20,253,1199,308,12937,532,15229.0
7/1/20,253,1199,308,12937,532,15229.0
7/2/20,253,1199,308,12937,532,15229.0
7/3/20,256,1234,331,13144,538,15503.0
7/4/20,256,1234,331,13144,538,15503.0
7/5/20,256,1234,331,13144,538,15503.0
7/6/20,256,1234,331,13144,538,15503.0
7/7/20,256,1234,331,13144,538,15503.0
7/8/20,256,1234,331,13144,538,15503.0
7/9/20,256,1234,331,13144,538,15503.0
7/10/20,256,1234,331,13144,538,15503.0
7/11/20,256,1234,331,13144,538,15503.0
7/12/20,256,1234,331,13144,538,15503.0
7/13/20,256,1234,331,13144,538,15503.0
